CODASS,NOM,QUATRI
240011,Àlgebra Lineal,Q1
240012,Càlcul I,Q1
240013,Mecànica Fonamental,Q1
240014,Química I,Q1
240015,Fonaments Informàtica,Q1
240021,Geometria,Q2
240022,Càlcul II,Q2
240023,Termodinàmica Fonamental,Q2
240024,Química II,Q2
240025,Expressió Gràfica,Q2
240031,Electromagnetisme,Q3
240131,Equacions Diferencials,Q3
240132,Informàtica,Q3
240032,Mètodes Numèrics,Q3
240033,Materials,Q3
240133,Mecànica,Q3
240041,Economia i Empresa,Q4
240042,Estadística,Q4
240043,Dinàmica de Sistemes,Q4
240141,Teoria de Màquines i Mecanismes,Q4
240044,PROJECTE I,Q4
240051,Tecnologia del Medi Ambient i Sostenibilitat,Q5
240052,Termodinàmica,Q5
240053,Electrotècnia,Q5
240054,Mecànica dels Medis Continus,Q5
240151,Tecnologia i Selecció de Materials,Q5
240055,Tècniques Estadístiques per la Qualitat,Q5
240061,Mecànica de Fluids,Q6
240062,Organització i Gestió,Q6
240063,Resistència de Materials,Q6
240161,Màquines Elèctriques,Q6
240162,Simulació i Optimització,Q6
240064,PROJECTE II,Q6
240071,Gestió de Projectes,Q7
240072,Electrònica,Q7
240073,Sistemes de Fabricació,Q7
240171,Termotècnia,Q7
240172,Control Automàtic,Q7
240400,Optativa,Optativa
240401,Optativa,Optativa
240402,Optativa,Optativa
240403,Optativa,Optativa
240404,Optativa,Optativa
240405,Optativa,Optativa
240406,Optativa,Optativa
240407,Optativa,Optativa
240408,Optativa,Optativa
240409,Optativa,Optativa
240410,Optativa,Optativa
240411,Optativa,Optativa
240412,Optativa,Optativa
240413,Optativa,Optativa
240414,Optativa,Optativa
240415,Optativa,Optativa
240416,Optativa,Optativa
240417,Optativa,Optativa
240418,Optativa,Optativa
240419,Optativa,Optativa
240420,Optativa,Optativa
240421,Optativa,Optativa
240422,Optativa,Optativa
240423,Optativa,Optativa
240424,Optativa,Optativa
240425,Optativa,Optativa
240426,Optativa,Optativa
240427,Optativa,Optativa
240428,Optativa,Optativa
240429,Optativa,Optativa
240430,Optativa,Optativa
240431,Optativa,Optativa
240432,Optativa,Optativa
240433,Optativa,Optativa
240434,Optativa,Optativa
240435,Optativa,Optativa
240436,Optativa,Optativa
240437,Optativa,Optativa
240438,Optativa,Optativa
240439,Optativa,Optativa
240440,Optativa,Optativa
240441,Optativa,Optativa
240442,Optativa,Optativa
240443,Optativa,Optativa
240444,Optativa,Optativa
240445,Optativa,Optativa
240446,Optativa,Optativa
240447,Optativa,Optativa
240448,Optativa,Optativa
