CP,NM
8328,Alella
8480,"Ametlla del Vallès, l'"
8350,Arenys de Mar
8358,Arenys de Munt
8717,Argençola
8310,Argentona
8798,Avinyonet del Penedès
8591,Aiguafreda
8911,Badalona
8912,Badalona
8913,Badalona
8914,Badalona
8915,Badalona
8916,Badalona
8917,Badalona
8918,Badalona
8001,Barcelona
8002,Barcelona
8003,Barcelona
8004,Barcelona
8005,Barcelona
8006,Barcelona
8007,Barcelona
8008,Barcelona
8009,Barcelona
8010,Barcelona
8011,Barcelona
8012,Barcelona
8013,Barcelona
8014,Barcelona
8015,Barcelona
8016,Barcelona
8017,Barcelona
8018,Barcelona
8019,Barcelona
8020,Barcelona
8021,Barcelona
8022,Barcelona
8023,Barcelona
8024,Barcelona
8025,Barcelona
8026,Barcelona
8027,Barcelona
8028,Barcelona
8029,Barcelona
8030,Barcelona
8031,Barcelona
8032,Barcelona
8034,Barcelona
8035,Barcelona
8036,Barcelona
8037,Barcelona
8038,Barcelona
8041,Barcelona
8042,Barcelona
8859,Begues
8600,Berga
8415,Bigues i Riells
8553,"Brull, el"
8349,Cabrera de Mar
8348,Cabrils
8140,Caldes de Montbui
8370,Calella
8519,Calldetenes
8470,Campins
8360,Canet de Mar
8420,Canovelles
8530,Cànoves i Samalús
8811,Canyelles
8440,Cardedeu
8261,Cardona
8211,Castellar del Vallès
8755,Castellbisbal
8183,Castellcir
8860,Castelldefels
8732,Castellet i la Gornal
8251,Castellnou de Bages
8183,Castellterçol
8732,Castellví de la Marca
8769,Castellví de Rosanes
8540,Centelles
8756,Cervelló
8758,Cervelló
8293,Collbató
8757,Corbera de Llobregat
8940,Cornellà de Llobregat
8950,Esplugues de Llobregat
8470,Fogars de Montclús
8519,Folgueroles
8520,"Franqueses del Vallès, les"
8530,"Garriga, la"
8850,Gavà
8790,Gelida
8680,Gironella
8183,Granera
8400,Granollers
8503,Gurb
8901,"Hospitalet de Llobregat, l'"
8902,"Hospitalet de Llobregat, l'"
8903,"Hospitalet de Llobregat, l'"
8904,"Hospitalet de Llobregat, l'"
8905,"Hospitalet de Llobregat, l'"
8906,"Hospitalet de Llobregat, l'"
8907,"Hospitalet de Llobregat, l'"
8700,Igualada
8450,Llinars del Vallès
8186,Lliçà d'Amunt
8185,Lliçà de Vall
8589,Lluçà
8380,Malgrat de Mar
8519,Malla
8560,Manlleu
8240,Manresa
8107,Martorelles
8320,"Masnou, el"
8230,Matadepera
8301,Mataró
8302,Mataró
8303,Mataró
8304,Mataró
8750,Molins de Rei
8100,Mollet del Vallès
8110,Montcada i Reixac
8390,Montgat
8589,Montesquiu
8717,Montmaneu
8460,Montseny
8180,Moià
8711,Òdena
