CODEX,CODASS,CR,CURS,Q,APR,NP,NC,NF,GR,QUATRI
230829,240012,6.0,2010,1,N,2.1,2.1,2.1,63,Q1
230933,240012,6.0,2010,1,S,6.4,6.4,6.4,71,Q1
229949,240012,6.0,2010,1,N,3.0,3.0,3.0,62,Q1
228122,240011,6.0,2010,1,S,5.0,5.0,5.0,63,Q1
228204,240011,6.0,2010,1,S,5.3,5.3,5.3,63,Q1
232054,240011,6.0,2010,1,S,7.0,7.0,7.0,63,Q1
232335,240011,6.0,2010,1,S,5.4,5.4,5.4,63,Q1
230310,240012,6.0,2010,1,S,7.0,7.0,7.0,22,Q1
227351,240012,6.0,2010,1,S,7.0,7.0,7.0,23,Q1
232347,240012,6.0,2010,1,S,5.4,5.4,5.4,21,Q1
228060,240012,6.0,2010,1,S,7.7,7.7,7.7,52,Q1
230006,240012,6.0,2010,1,S,7.2,7.2,7.2,52,Q1
228556,240012,6.0,2010,1,N,3.0,3.0,3.0,43,Q1
232499,240012,6.0,2010,1,S,7.7,7.7,7.7,43,Q1
227032,240012,6.0,2010,1,S,5.9,5.9,5.9,42,Q1
227947,240012,6.0,2010,1,S,5.8,5.8,5.8,42,Q1
232094,240012,6.0,2010,1,S,6.4,6.4,6.4,42,Q1
226495,240012,6.0,2010,1,S,5.1,5.1,5.1,43,Q1
227236,240012,6.0,2010,1,N,1.5,1.5,1.5,52,Q1
228005,240011,6.0,2010,1,S,6.2,6.2,6.2,11,Q1
226889,240011,6.0,2010,1,S,5.5,5.5,5.5,13,Q1
227505,240011,6.0,2010,1,N,2.5,2.5,2.5,13,Q1
227433,240011,6.0,2010,1,S,7.3,7.3,7.3,31,Q1
227757,240011,6.0,2010,1,S,6.1,6.1,6.1,42,Q1
228572,240011,6.0,2010,1,S,5.0,5.0,5.0,42,Q1
233204,240011,6.0,2010,1,N,4.0,4.0,4.0,42,Q1
226680,240011,6.0,2010,1,S,6.8,6.8,6.8,43,Q1
227413,240011,6.0,2010,1,N,2.6,2.6,2.6,43,Q1
227451,240011,6.0,2010,1,S,6.6,6.6,6.6,43,Q1
227351,240011,6.0,2010,1,S,8.1,8.1,8.1,23,Q1
228660,240011,6.0,2010,1,S,5.0,5.0,5.0,23,Q1
226679,240011,6.0,2010,1,S,5.5,5.5,5.5,41,Q1
227142,240011,6.0,2010,1,S,5.0,5.0,5.0,41,Q1
227518,240011,6.0,2010,1,S,7.7,7.7,7.7,41,Q1
227519,240011,6.0,2010,1,S,6.0,6.0,6.0,41,Q1
227590,240011,6.0,2010,1,S,10.0,10.0,10.0,41,Q1
227200,240011,6.0,2010,1,S,5.8,5.8,5.8,42,Q1
227686,240011,6.0,2010,1,N,3.5,3.5,3.5,42,Q1
228540,240011,6.0,2010,1,N,4.5,4.5,4.5,62,Q1
229949,240011,6.0,2010,1,N,1.5,1.5,1.5,62,Q1
227654,240011,6.0,2010,1,N,0.0,0.0,0.0,63,Q1
227856,240011,6.0,2010,1,S,6.4,6.4,6.4,63,Q1
229211,240011,6.0,2010,1,S,6.0,6.0,6.0,53,Q1
228476,240011,6.0,2010,1,N,3.0,3.0,3.0,62,Q1
229794,240011,6.0,2010,1,S,6.0,6.0,6.0,52,Q1
230006,240011,6.0,2010,1,S,9.5,9.5,9.5,52,Q1
227286,240011,6.0,2010,1,S,5.0,5.0,5.0,53,Q1
227012,240011,6.0,2010,1,S,6.1,6.1,6.1,21,Q1
227712,240011,6.0,2010,1,N,4.4,4.4,4.4,21,Q1
227199,240012,6.0,2010,1,S,7.0,7.0,7.0,72,Q1
228971,240012,6.0,2010,1,N,4.1,4.1,4.1,72,Q1
230686,240012,6.0,2010,1,S,9.5,9.5,9.5,72,Q1
230843,240012,6.0,2010,1,S,7.0,7.0,7.0,72,Q1
230992,240012,6.0,2010,1,S,6.3,6.3,6.3,72,Q1
231441,240012,6.0,2010,1,N,4.1,4.1,4.1,72,Q1
228179,240012,6.0,2010,1,S,6.4,6.4,6.4,21,Q1
228599,240012,6.0,2010,1,N,4.3,4.3,4.3,12,Q1
228601,240012,6.0,2010,1,S,5.9,5.9,5.9,12,Q1
227447,240012,6.0,2010,1,N,4.5,4.5,4.5,13,Q1
