,CODEX,CODASS,CR,CURS,Q,APR,NP,NC,NF,GR,QUATRI
0,227332,240025,7.5,2010,2,S,7.7,7.7,7.7,51,Q2
1,230686,240025,7.5,2010,2,S,8.8,8.8,8.8,51,Q2
2,232356,240025,7.5,2010,2,S,5.7,5.7,5.7,51,Q2
3,227742,240025,7.5,2010,2,N,3.7,3.7,3.7,42,Q2
4,228884,240025,7.5,2010,2,S,5.4,5.4,5.4,42,Q2
5,227522,240025,7.5,2010,2,N,0.4,0.4,0.4,42,Q2
6,232094,240025,7.5,2010,2,S,8.0,8.0,8.0,42,Q2
7,226888,240025,7.5,2010,2,S,6.9,6.9,6.9,43,Q2
8,226793,240025,7.5,2010,2,N,0.6,0.6,0.6,43,Q2
9,227908,240025,7.5,2010,2,N,2.6,2.6,2.6,43,Q2
10,228695,240025,7.5,2010,2,N,1.4,1.4,1.4,43,Q2
11,228060,240025,7.5,2010,2,N,2.4,2.4,2.4,22,Q2
12,226410,240025,7.5,2010,2,S,5.1,5.1,5.1,22,Q2
13,227756,240025,7.5,2010,2,S,4.7,4.7,5.0,22,Q2
14,227133,240025,7.5,2010,2,S,8.5,8.5,8.5,22,Q2
15,227703,240025,7.5,2010,2,N,2.4,2.4,2.4,23,Q2
16,226455,240025,7.5,2010,2,S,5.4,5.4,5.4,33,Q2
17,227601,240025,7.5,2010,2,N,2.6,2.6,2.6,33,Q2
18,231199,240025,7.5,2010,2,S,5.1,5.1,5.1,13,Q2
19,228429,240025,7.5,2010,2,N,0.2,0.2,0.2,33,Q2
20,227182,240025,7.5,2010,2,S,6.0,6.0,6.0,41,Q2
21,227422,240025,7.5,2010,2,N,0.0,0.0,0.0,41,Q2
22,228497,240025,7.5,2010,2,S,4.5,4.5,5.0,41,Q2
23,228324,240025,7.5,2010,2,S,6.7,6.7,6.7,41,Q2
24,228436,240025,7.5,2010,2,N,4.0,4.0,4.0,13,Q2
25,228454,240025,7.5,2010,2,S,8.0,8.0,8.0,33,Q2
26,227320,240025,7.5,2010,2,N,0.5,0.5,0.5,12,Q2
27,227829,240025,7.5,2010,2,N,0.3,0.3,0.3,13,Q2
28,230199,240025,7.5,2010,2,S,9.6,9.6,9.6,11,Q2
29,230188,240025,7.5,2010,2,S,6.3,6.3,6.3,11,Q2
30,227231,240025,7.5,2010,2,S,9.0,9.0,9.0,11,Q2
31,228721,240025,7.5,2010,2,N,0.0,0.0,0.0,12,Q2
32,227383,240025,7.5,2010,2,N,4.4,4.4,4.4,12,Q2
33,227082,240025,7.5,2010,2,S,6.2,6.2,6.2,23,Q2
34,227261,240025,7.5,2010,2,S,6.8,6.8,6.8,23,Q2
35,227264,240025,7.5,2010,2,S,7.0,7.0,7.0,23,Q2
36,226410,240022,6.0,2010,2,S,7.0,7.0,7.0,22,Q2
37,227659,240022,6.0,2010,2,S,5.0,5.0,5.0,23,Q2
38,232799,240022,6.0,2010,2,N,3.5,3.5,3.5,53,Q2
39,228459,240012,6.0,2010,2,S,5.9,5.9,5.9,31,Q1
40,227338,240022,6.0,2010,2,S,7.9,7.9,7.9,52,Q2
41,227128,240022,6.0,2010,2,S,5.3,5.3,5.3,52,Q2
42,228745,240022,6.0,2010,2,S,6.8,6.8,6.8,52,Q2
43,228736,240025,7.5,2010,2,S,8.1,8.1,8.1,52,Q2
44,226684,240025,7.5,2010,2,N,1.0,1.0,1.0,52,Q2
45,232772,240012,6.0,2010,2,S,5.2,5.2,5.2,32,Q1
46,228474,240022,6.0,2010,2,S,6.5,6.5,6.5,33,Q2
47,227520,240022,6.0,2010,2,S,5.1,5.1,5.1,41,Q2
48,228122,240022,6.0,2010,2,S,5.0,5.0,5.0,42,Q2
49,233204,240022,6.0,2010,2,N,3.7,3.7,3.7,42,Q2
50,228884,240022,6.0,2010,2,N,2.4,2.4,2.4,43,Q2
51,228045,240022,6.0,2010,2,S,6.7,6.7,6.7,51,Q2
52,230686,240022,6.0,2010,2,S,7.7,7.7,7.7,51,Q2
53,230992,240022,6.0,2010,2,S,4.0,4.0,5.0,51,Q2
54,226889,240025,7.5,2010,2,S,6.0,6.0,6.0,52,Q2
55,227284,240025,7.5,2010,2,S,6.0,6.0,6.0,52,Q2
56,227728,240025,7.5,2010,2,S,7.8,7.8,7.8,52,Q2
57,227290,240022,6.0,2010,2,S,7.1,7.1,7.1,41,Q2
58,227908,240011,6.0,2010,2,N,3.2,3.2,3.2,22,Q1
59,228100,240012,6.0,2010,2,N,0.0,0.0,0.0,21,Q1
60,232799,240011,6.0,2010,2,N,2.6,2.6,2.6,21,Q1
61,227855,240025,7.5,2010,2,S,5.9,5.9,5.9,31,Q2
62,230248,240025,7.5,2010,2,S,5.6,5.6,5.6,32,Q2
63,227096,240025,7.5,2010,2,S,6.8,6.8,6.8,32,Q2
64,227087,240025,7.5,2010,2,S,7.1,7.1,7.1,32,Q2
65,230666,240025,7.5,2010,2,S,6.0,6.0,6.0,32,Q2
66,228382,240012,6.0,2010,2,N,4.4,4.4,4.4,11,Q1
67,227236,240012,6.0,2010,2,N,1.5,1.5,1.5,11,Q1
68,229262,240012,6.0,2010,2,S,5.0,5.0,5.0,11,Q1
69,227979,240012,6.0,2010,2,N,4.6,4.6,4.6,11,Q1
