CODEX,SEX,CPF,ANY,SELE,CPE
226410,H,10000,2010,12.507,
226431,H,07703,2010,11.796,
226441,H,08840,2010,9.852,8034.0
226455,H,08700,2010,10.642000000000001,8700.0
226463,H,08029,2010,10.004,8034.0
226464,H,08150,2010,10.915999999999999,8401.0
226467,H,08036,2010,11.686,8023.0
226472,D,08017,2010,11.792,8017.0
226494,H,08005,2010,11.027999999999999,8005.0
226495,D,08011,2010,10.47,8007.0
226499,H,08016,2010,10.1,8031.0
226515,D,17400,2010,12.126,8470.0
226543,D,08401,2010,11.937999999999999,8401.0
226635,H,08902,2010,10.96,8902.0
226648,H,08014,2010,10.446,8014.0
226679,H,08261,2010,10.446,8261.0
226680,D,08041,2010,12.624,8022.0
226684,H,08458,2010,10.186,8401.0
226685,H,08911,2010,11.19,8912.0
226687,H,08022,2010,10.012,8017.0
226717,D,08016,2010,10.558,8030.0
226738,H,08036,2010,10.432,8173.0
226774,H,35002,2010,13.161,
226793,D,07800,2010,10.48,
226798,D,08860,2010,10.798,8850.0
226818,H,08011,2010,12.65,8036.0
226877,H,08370,2010,12.137,
226888,D,08350,2010,9.842,8350.0
226889,D,07840,2010,11.335999999999999,
226944,H,07410,2010,12.15,
226950,H,08190,2010,11.842,8017.0
226980,D,08018,2010,10.550999999999998,
226994,H,08950,2010,10.568,8906.0
227006,D,08038,2010,12.128,8038.0
227008,H,08025,2010,10.44,8009.0
227012,H,08011,2010,11.202,8009.0
227018,H,08005,2010,10.312000000000001,8007.0
227021,H,08328,2010,11.182,8007.0
227027,H,08755,2010,11.165999999999999,8755.0
227032,H,08021,2010,10.905999999999999,8017.0
227034,H,08006,2010,12.187999999999999,8017.0
227036,H,08037,2010,11.078,8034.0
227040,D,08001,2010,10.52,8001.0
227045,H,08901,2011,10.334000000000001,8901.0
227047,H,08906,2010,12.6,8901.0
227048,D,08905,2010,11.334000000000001,8901.0
227057,H,08018,2010,10.604000000000001,8009.0
227073,H,08197,2010,9.882,8022.0
227082,H,08140,2010,11.008,8140.0
227087,H,08402,2010,11.76,8402.0
227091,H,08905,2010,10.1,8034.0
227092,H,08021,2010,10.792,8034.0
227094,D,08028,2010,12.048,8034.0
227095,H,08960,2010,10.654000000000002,8034.0
227096,H,08009,2010,12.13,8034.0
227098,H,08034,2010,10.73,8034.0
227121,H,08017,2010,11.532,8021.0
227123,H,08006,2010,10.618,8021.0
227125,H,08009,2010,10.134,8021.0
227128,H,08023,2010,10.008,8022.0
227129,H,08036,2010,9.894,8022.0
227132,H,08034,2010,10.398,8022.0
227133,H,08021,2010,12.302,8022.0
227142,D,08006,2010,12.12,8006.0
227178,H,08024,2010,10.36,8024.0
227182,H,08917,2010,9.804,8917.0
227199,H,08029,2010,10.42,8017.0
227200,D,08006,2010,10.874,8006.0
227207,H,08034,2010,11.2,8034.0
227213,H,08912,2010,11.384,8912.0
227215,H,08391,2010,10.218,8912.0
227231,H,08025,2010,11.378,8025.0
227236,D,35500,2010,10.847999999999999,
227260,H,08917,2010,10.69,8912.0
227261,D,08006,2010,11.66,8034.0
227264,H,08017,2010,10.39,8034.0
227284,H,08041,2010,10.052,8041.0
227285,H,08025,2010,9.83,8041.0
227286,H,08035,2010,10.048,8035.0
227289,D,08032,2010,10.204,8035.0
227290,D,08006,2010,9.812000000000001,8006.0
227296,H,08021,2010,10.942,8006.0
227298,H,08034,2010,10.524000000000001,8017.0
227300,H,08195,2010,11.544,8017.0
227301,H,08320,2010,10.62,8017.0
227302,D,08034,2010,10.46,8017.0
227303,H,08034,2010,10.154,8017.0
227304,H,08173,2010,10.076,8017.0
227307,H,08007,2010,11.522,8022.0
227309,H,08023,2010,12.495999999999999,8022.0
227320,H,08912,2010,10.706,8912.0
227326,H,08500,2010,10.55,8500.0
227327,H,08500,2010,10.927999999999999,8500.0
227328,H,08512,2010,12.328,8500.0
227332,H,08552,2010,9.786,8500.0
227334,H,08500,2010,11.927999999999999,8500.0
227338,H,08032,2010,10.517999999999999,8034.0
227341,D,08037,2010,12.244000000000002,8034.0
227351,H,08029,2010,12.395999999999999,8036.0
227355,H,08015,2010,10.508,8008.0
227363,H,08911,2010,11.495999999999999,8912.0
227365,H,08912,2010,12.694,8912.0
227369,H,08023,2010,9.77,8022.0
227383,H,08015,2010,12.092,8015.0
227406,H,08172,2010,10.106,8174.0
227409,D,08349,2010,10.904000000000002,8017.0
227413,H,08022,2010,11.0,8017.0
227422,D,08025,2010,10.794,8025.0
227433,D,17530,2010,12.315999999999999,8500.0
227436,H,08507,2010,11.484000000000002,8500.0
227447,D,08172,2010,10.422,8017.0
227451,H,08028,2010,12.002,8017.0
227452,H,08038,2010,10.058,8017.0
227457,H,08901,2010,9.998,8907.0
227459,H,08901,2010,9.782,8907.0
227475,H,08022,2010,13.13,8017.0
227476,H,08028,2010,9.88,8017.0
227480,H,08017,2010,12.114,8017.0
227482,D,08197,2010,11.76,8017.0
227495,H,08503,2010,9.836,8500.0
227497,H,08503,2010,12.542,8500.0
227505,H,08940,2010,11.298,8902.0
227506,H,08902,2010,10.844000000000001,8902.0
227518,D,08017,2010,11.482000000000001,8017.0
227519,D,08034,2010,11.527999999999999,8034.0
227520,H,08905,2010,10.334000000000001,8034.0
227522,H,08034,2010,10.255999999999998,8034.0
227556,D,08031,2010,12.618,8016.0
227584,H,08187,2010,11.975999999999999,8530.0
227588,H,08940,2010,12.04,8017.0
227590,H,08010,2010,12.462,8010.0
227591,H,08009,2010,10.277999999999999,8010.0
227601,H,08029,2010,11.616,8029.0
227602,D,08036,2010,13.062000000000001,8029.0
227607,H,08796,2010,10.434000000000001,8029.0
227609,D,08028,2010,10.495999999999999,8029.0
227620,H,08023,2010,10.014,8006.0
227624,H,08173,2010,11.7,8034.0
227636,H,08034,2010,11.574000000000002,8035.0
227637,D,08022,2010,12.466,8035.0
227639,D,08029,2010,12.422,8022.0
227641,H,08027,2010,11.18,8027.0
227654,H,08034,2010,10.017999999999999,8008.0
227659,H,08025,2010,11.004000000000001,8021.0
227665,H,08015,2010,10.172,8021.0
227686,H,08902,2010,10.076,8014.0
227700,H,08009,2010,12.306,8010.0
227701,H,08009,2010,11.868,8010.0
227703,D,08037,2010,10.585999999999999,8010.0
227707,H,08019,2010,10.492,8010.0
227712,H,08042,2010,11.2,8031.0
227725,H,08202,2010,11.422,8205.0
227728,H,08800,2010,10.958,8800.0
227735,D,08776,2010,10.754000000000001,8770.0
227737,H,08188,2010,10.43,8440.0
227738,H,08459,2010,11.255999999999998,8440.0
227742,D,08021,2010,9.892000000000001,8022.0
227744,H,08017,2010,12.43,8022.0
227746,H,08029,2010,11.76,8017.0
227752,H,08029,2010,11.092,8034.0
227753,H,08023,2010,10.927999999999999,8034.0
227755,D,08015,2010,11.095999999999998,8034.0
227756,H,08023,2010,13.495999999999999,8034.0
227757,D,08034,2010,10.84,8034.0
227765,H,08034,2010,12.822000000000001,8034.0
227766,H,08202,2010,11.96,8034.0
227769,H,08022,2010,11.742,8034.0
227774,H,08173,2010,11.255999999999998,8034.0
227775,H,08195,2010,10.308,8034.0
227779,H,08922,2010,12.436,8030.0
227786,H,08195,2010,10.17,8195.0
227787,H,08030,2010,10.66,8195.0
227791,H,08036,2010,10.716,8036.0
227792,D,08029,2010,13.015999999999998,8036.0
227801,H,08023,2010,11.432,8017.0
227805,D,08017,2010,11.09,8034.0
227807,D,08037,2010,12.352,8034.0
227814,H,08015,2010,10.076,8902.0
227816,H,08907,2010,12.924000000000001,8906.0
227821,D,08907,2010,10.844000000000001,8907.0
227823,H,08901,2010,9.988,8907.0
227825,H,08907,2010,9.954,8907.0
227828,D,08038,2010,11.032,8902.0
227829,D,08820,2010,11.107999999999999,8902.0
227838,H,08800,2010,10.96,8800.0
227854,H,08195,2010,11.924000000000001,8173.0
227855,H,08022,2010,12.242,8173.0
227856,H,08017,2010,9.896,8173.0
227857,H,08017,2010,10.322000000000001,8173.0
227859,H,08830,2010,10.76,8830.0
227871,H,08720,2010,10.908,8720.0
227877,H,17003,2010,12.262,17005.0
227878,H,17002,2010,10.892000000000001,17005.0
227880,D,17310,2010,10.478,17458.0
227887,H,08014,2010,10.82,8014.0
227908,H,08189,2010,10.888,8140.0
227935,D,17007,2010,12.774000000000001,17004.0
227942,H,43003,2010,10.04,43005.0
227947,H,08303,2010,10.49,8303.0
227953,H,08029,2010,9.988,8029.0
227956,H,08028,2010,11.636,8029.0
227958,H,08860,2010,12.89,8850.0
227979,H,08720,2010,9.846,8720.0
227994,D,17500,2010,9.844,17500.0
228005,D,43350,2010,12.62,43330.0
228006,D,43330,2010,10.002,43330.0
228015,H,08191,2010,11.34,8174.0
228017,H,08172,2010,10.456,8174.0
228018,H,08860,2010,11.585999999999999,8850.0
228021,D,08860,2010,10.196,8860.0
228027,H,08759,2010,10.825999999999999,8759.0
228029,H,08180,2010,11.332,8180.0
228044,D,17003,2010,12.044,17003.0
228045,D,17003,2010,10.11,17003.0
228046,H,17003,2010,10.702,17003.0
228047,H,08397,2010,10.728,17003.0
228048,H,17003,2010,10.632,17003.0
228049,H,08397,2010,10.73,17003.0
228055,H,08320,2010,9.782,8390.0
228060,H,08017,2010,12.136,8034.0
228061,H,08021,2010,11.742,8034.0
228063,H,08635,2010,11.02,8640.0
228080,H,08470,2010,11.424000000000001,8470.0
228091,H,08700,2010,10.998,8700.0
228096,D,08415,2010,9.824,8520.0
228099,H,43340,2010,10.874,43002.0
228100,H,43850,2010,9.802,43002.0
228108,H,17310,2010,10.294,17310.0
228122,H,08001,2010,9.772,8034.0
228126,H,08980,2010,10.915999999999999,8980.0
228128,D,25282,2010,12.354000000000001,25280.0
228154,D,17469,2010,11.82,17486.0
228158,H,17800,2010,10.032,17800.0
228162,H,17800,2010,12.335999999999999,17800.0
228164,H,17520,2010,10.56,17520.0
228169,D,08035,2010,11.276,8023.0
228179,H,08980,2010,12.062000000000001,8980.0
228188,D,08818,2010,10.556,8810.0
228190,D,08261,2010,11.436,8261.0
228204,H,08970,2010,9.937999999999999,8960.0
228210,D,25740,2010,11.08,25740.0
228227,H,08020,2010,10.484000000000002,8019.0
228229,H,08350,2010,12.494000000000002,8350.0
228242,D,08020,2010,11.63,8980.0
228245,H,08970,2010,10.026,8970.0
228246,H,08029,2010,11.048,8960.0
228247,H,08740,2010,12.735999999999999,8960.0
228260,H,08401,2010,10.47,8401.0
228268,H,25210,2010,10.995999999999999,25210.0
228281,H,08397,2010,10.332,8370.0
228297,H,08820,2010,11.764000000000001,8820.0
228300,H,08025,2010,11.302,8024.0
228302,H,08024,2010,10.595999999999998,8024.0
228315,D,08029,2010,12.074000000000002,8028.0
228323,H,17257,2010,10.42,17257.0
228324,H,17111,2010,9.852,17257.0
228367,H,08173,2010,10.734000000000002,8197.0
228371,H,08759,2010,11.597999999999999,8950.0
228372,H,08950,2010,11.234000000000002,8950.0
228375,H,08820,2010,9.783999999999999,8950.0
228382,H,43205,2010,10.354000000000001,43206.0
228383,H,43202,2010,10.332,43206.0
228418,H,08820,2010,9.994,8950.0
228429,D,08402,2010,11.585999999999999,8100.0
228432,H,08301,2010,10.412,8304.0
228436,D,08340,2010,11.208,8340.0
228439,H,08700,2010,10.694,8700.0
228454,D,08380,2010,12.402000000000001,8380.0
228459,D,43700,2010,10.146,43700.0
228474,H,08105,2010,11.538,8100.0
228476,H,08100,2010,9.936,8100.0
228494,H,08242,2010,10.444,8240.0
228497,H,08243,2010,11.296,8240.0
228504,H,43700,2010,9.936,43700.0
228525,H,08030,2010,10.96,8030.0
228529,H,08014,2010,10.687999999999999,8027.0
228530,H,43007,2010,10.484000000000002,43120.0
228531,H,43007,2010,11.818,43120.0
228532,H,43203,2010,11.38,43120.0
228533,H,43840,2010,11.38,43120.0
228535,D,43202,2010,11.98,43205.0
228536,H,43206,2010,9.982000000000001,43205.0
228537,H,43206,2010,11.83,43205.0
228540,D,25005,2010,9.924,25002.0
228556,H,08034,2010,10.872,8034.0
228563,H,08859,2010,11.606,8850.0
228571,H,08034,2010,11.017999999999999,8173.0
228572,D,08034,2010,9.84,8173.0
228573,H,08034,2010,11.097999999999999,8173.0
228576,H,08620,2010,10.328,8620.0
228581,H,08849,2010,12.936,8830.0
228593,D,17600,2010,11.088,17600.0
228599,H,08034,2010,11.276,8034.0
228600,H,08005,2010,10.738,8034.0
228601,D,08036,2010,11.58,8034.0
228615,H,08328,2010,10.944,8328.0
228623,D,43206,2010,11.404000000000002,43110.0
228628,D,08025,2010,11.45,8030.0
228629,D,08030,2010,12.444,8030.0
228630,D,08030,2010,13.245999999999999,8030.0
228631,H,08027,2010,10.16,8030.0
228637,H,08027,2010,11.024000000000001,8030.0
228657,H,08330,2010,11.154000000000002,8302.0
228660,D,08970,2010,10.732000000000001,8034.0
228661,H,08029,2010,11.948,8034.0
228663,D,08029,2010,10.7,8034.0
228695,D,08690,2010,10.107999999999999,8830.0
228704,H,43500,2010,11.328,43500.0
228708,H,22520,2010,10.548,25111.0
228715,H,43750,2010,10.504000000000001,43750.0
228718,H,08330,2010,11.25,8301.0
228721,H,08029,2010,10.522,8014.0
228736,H,08310,2010,9.78,8310.0
228745,H,07760,2010,9.937999999999999,
228880,H,08026,2010,10.118,8025.0
228884,H,08192,2010,9.77,8195.0
228921,D,08960,2010,13.238,8034.0
228958,H,08029,2010,11.267999999999999,8014.0
228971,D,99999,2010,10.33,
228998,H,08004,2010,10.45,
229011,H,07560,2010,10.86,
229037,H,99999,2010,10.255,
229072,H,07012,2010,11.012,
229096,D,08940,2010,10.39,8901.0
229108,H,08950,2010,12.888,8960.0
229121,H,08021,2010,10.31,
229137,H,08022,2010,12.167,
229146,H,43850,2010,11.488,43205.0
229148,H,08030,2010,10.434000000000001,8027.0
229176,H,08520,2010,10.645999999999999,8530.0
229211,H,08009,2010,9.92,8023.0
229248,H,08870,2010,10.59,8034.0
229262,D,07820,2010,10.234,
229314,D,08290,2010,11.51,8290.0
229368,H,08172,2010,11.154000000000002,8034.0
229370,H,08016,2010,10.124,8027.0
229380,H,07002,2010,10.004,
229400,D,12500,2010,11.9,
229423,H,17527,2010,11.334000000000001,17520.0
229447,H,17002,2010,10.354000000000001,17004.0
229451,D,08012,2010,11.07,8006.0
229457,H,08013,2010,10.634,8009.0
229520,H,08195,2010,10.672,8035.0
229635,H,08023,2010,11.522,8022.0
229677,H,08340,2010,10.328,8340.0
229691,H,08012,2010,11.386,8007.0
229698,H,08859,2010,9.946,8014.0
229736,D,08006,2010,11.292,8006.0
229744,H,07800,2010,10.546,
229754,D,08041,2010,12.864,8007.0
229759,H,08025,2010,9.842,8012.0
229794,D,08021,2010,10.844000000000001,8022.0
229808,H,07012,2010,12.204,
229821,D,43002,2010,12.37,43002.0
229827,H,07730,2010,11.234000000000002,
229830,H,08328,2010,10.198,8021.0
229857,H,08005,2010,10.792,
229890,H,25518,2010,12.042,25500.0
229911,H,08903,2010,9.792,8034.0
229925,H,08006,2010,12.796,8034.0
229949,H,08034,2010,9.95,8034.0
229972,D,08700,2010,10.574000000000002,8700.0
230005,H,08022,2010,10.767999999999999,8022.0
230006,H,07760,2010,10.83,
230008,D,07702,2010,10.238,
230066,D,08028,2010,12.132,25111.0
230157,H,08023,2010,10.33,8006.0
230159,D,08860,2010,10.146,8860.0
230188,H,08173,2010,13.59,8173.0
230199,H,08360,2010,11.505999999999998,8360.0
230210,H,08640,2010,10.402000000000001,8640.0
230248,D,43005,2010,11.36,43005.0
230302,H,08450,2010,11.572000000000001,8440.0
230310,H,08390,2010,12.335999999999999,8390.0
230356,H,08911,2010,11.665999999999999,8390.0
230661,D,08328,2010,10.05,8034.0
230662,H,08193,2010,10.036,8174.0
230666,H,08034,2010,11.982000000000001,8034.0
230684,H,43781,2010,11.888,43780.0
230686,H,43005,2010,11.4,43005.0
230772,H,08391,2010,11.036,8390.0
230805,H,08173,2010,10.828,8017.0
230829,H,08013,2010,11.578,8009.0
230843,H,08041,2010,10.92,8017.0
230878,D,08022,2010,10.934000000000001,8034.0
230933,H,43500,2010,10.437999999999999,43500.0
230939,H,08922,2010,10.904000000000002,8030.0
230992,H,08914,2010,11.665999999999999,8912.0
231048,H,07013,2010,10.802,
231199,H,25002,2010,11.33,25002.0
231202,H,08005,2010,10.538,8029.0
231325,H,08917,2010,9.79,8912.0
231371,H,08032,2010,11.224,8035.0
231419,H,08021,2010,9.166,8017.0
231441,D,07320,2010,9.166,
231745,H,08013,2010,10.914000000000001,8009.0
231885,H,08015,2010,10.585999999999999,8001.0
231991,H,08013,2010,10.802,8009.0
232054,H,08017,2010,9.61,8195.0
232094,H,08272,2010,9.684,8240.0
232124,H,08922,2010,9.682,8030.0
232153,H,08173,2010,9.624,8021.0
232166,H,00000,2010,9.767000000000001,
232234,H,08006,2010,9.687999999999999,8022.0
232235,H,08005,2010,9.638,8022.0
232248,H,08036,2010,9.693999999999999,8023.0
232333,H,08784,2010,9.6,8770.0
232335,H,07760,2010,9.687999999999999,
232338,H,08800,2010,9.634,8800.0
232347,H,08028,2010,9.756,8028.0
232351,H,08150,2010,9.746,8100.0
232356,H,43206,2010,9.767999999999999,43120.0
232372,H,08370,2010,9.72,8370.0
232379,H,25700,2010,9.677999999999999,25700.0
232393,H,08017,2010,9.714,8017.0
232499,H,08017,2010,10.838,8017.0
232526,D,43201,2010,10.48,43206.0
232636,H,08901,2010,10.812000000000001,8902.0
232677,H,08028,2010,11.764000000000001,8034.0
232679,D,08302,2010,10.91,8304.0
232772,H,08110,2010,10.724,8110.0
232799,H,08005,2010,9.706,8005.0
232879,D,17003,2010,10.882,17003.0
232933,H,08034,2010,10.845999999999998,8021.0
232965,H,08035,2010,10.549000000000001,
232981,H,08100,2010,10.708,8100.0
233021,H,08021,2010,10.792,8022.0
233142,H,08290,2010,11.78,8017.0
233204,H,08007,2010,10.91,8034.0
243049,H,08032,2010,10.074,8032.0
243050,D,07006,2011,11.73,
243124,H,08017,2011,11.286,8022.0
243136,H,08970,2011,10.052,8034.0
243142,H,08006,2011,12.602,
243182,H,08021,2011,12.667,
243200,H,08027,2010,10.578,8027.0
243205,H,08025,2011,12.66,
243241,H,07620,2011,10.748,
243262,H,28001,2011,12.460999999999999,
243368,H,20008,2011,12.245999999999999,
243374,D,08022,2010,10.762,8034.0
243436,H,08029,2011,9.722000000000001,8029.0
243442,D,08320,2010,10.388,8328.0
243454,H,08017,2011,10.918,8173.0
243536,H,07410,2011,10.57,
243538,H,08041,2011,10.036,
243543,H,99999,2011,10.439,
243546,H,08034,2011,12.743,
243556,H,07500,2011,12.03,
243572,H,08023,2011,10.58,8022.0
243582,H,08012,2011,11.833,
243658,H,08017,2011,10.0,8017.0
243666,H,08860,2011,11.592,8034.0
243676,H,08026,2011,10.744000000000002,8032.0
243681,H,08015,2011,10.395999999999999,8007.0
243702,D,43740,2011,10.616,43740.0
243721,H,07013,2011,10.448,
243737,D,08017,2011,13.585,
243740,H,08034,2011,12.263,
243748,H,08029,2010,10.374,8036.0
243759,D,20002,2011,12.472000000000001,
243766,H,07015,2011,10.662,
243768,H,07814,2011,10.28,
243773,H,20012,2011,12.718,
243776,H,07730,2011,12.136,
243777,H,07840,2011,10.632,
243832,H,08022,2011,12.331,
243863,H,08028,2011,10.306,
243865,D,08035,2011,12.526,8035.0
243899,H,43002,2011,11.395999999999999,43002.0
243956,H,17310,2011,10.208,17310.0
243959,H,25617,2011,10.112,25600.0
243964,H,08110,2011,11.274000000000001,8110.0
243979,H,17300,2011,10.894,17300.0
243985,H,08912,2011,10.074,8912.0
243988,D,25006,2011,11.972000000000001,25003.0
243993,D,08870,2010,12.126,8009.0
243999,H,17480,2011,10.568,17480.0
244002,H,08100,2011,10.994000000000002,8100.0
244005,H,17480,2011,11.37,17480.0
244012,H,08100,2011,10.972000000000001,8100.0
244032,H,17744,2011,12.466,17600.0
244041,H,08011,2011,11.905999999999999,8029.0
244049,H,43850,2011,11.6,43120.0
244060,H,08520,2011,12.13,8401.0
244074,H,08023,2011,10.704,8013.0
244077,H,08013,2011,10.424000000000001,8013.0
244090,H,17310,2011,10.462,17310.0
244095,D,08629,2011,10.55,8906.0
244106,H,43007,2011,12.988,43007.0
244109,H,43500,2011,11.825999999999999,43500.0
244113,H,17003,2011,10.485999999999999,17002.0
244115,H,25005,2011,9.732000000000001,25005.0
244117,D,43392,2011,10.058,43205.0
244119,D,25182,2011,9.726,25002.0
244129,H,43700,2011,12.668,43700.0
244140,H,08015,2011,9.918,8029.0
244141,H,08018,2011,10.422,8029.0
244149,D,43007,2011,9.81,43003.0
244150,H,43007,2011,11.394,43003.0
244151,H,43001,2011,10.8,43003.0
244194,D,43400,2011,11.752,43400.0
244203,H,17500,2011,12.572000000000001,17500.0
244208,D,43007,2011,10.706,43003.0
244226,H,08005,2011,10.036,8029.0
244235,H,43205,2011,12.33,43205.0
244236,H,43206,2011,11.4,43205.0
244252,H,08015,2011,10.575999999999999,8029.0
244262,H,43500,2011,10.264000000000001,43500.0
244279,H,43007,2011,10.622,43007.0
244287,H,43500,2011,11.204,43500.0
244289,H,43850,2011,12.008,43850.0
244290,H,43850,2011,10.964,43850.0
244300,H,08330,2011,10.93,8330.0
244329,D,08776,2011,12.252,8770.0
244339,D,43005,2011,11.194,43110.0
244340,D,43596,2011,12.386,43110.0
244342,D,43007,2011,12.542,43110.0
244343,H,43893,2011,9.81,43002.0
244361,H,25006,2011,9.726,25111.0
244364,H,43203,2011,10.437999999999999,43206.0
244377,H,08018,2011,10.645999999999999,8009.0
244379,H,43392,2011,12.044,43120.0
244391,H,08338,2011,10.558,8338.0
244406,H,43007,2011,11.142000000000001,43003.0
244408,H,08401,2011,12.394,8400.0
244455,H,43002,2011,11.5,43003.0
